ds,unique_id,y,QLF,ROL,CPV,black_friday,carnaval,confraternizacao_universal,copa_do_mundo,covid,dia_das_maes,dia_de_finados,dia_dos_namorados,dia_dos_pais,dia_do_trabalhador,eleicoes,halloween,independencia_do_brasil,natal,nossa_senhora_aparecida,pascoa,proclamacao_da_republica,sexta_feira_santa,dayofweek,monthofyear
2020-05-04,BB,29091.91,55.0,21818.9325,5912.66473,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-05-05,BB,35594.96,53.0,26696.22,7052.198850000001,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2020-05-06,BB,15823.45,32.0,11867.5875,2742.6424500000003,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5
2020-05-07,BB,33963.24,55.0,25472.43,6451.57764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
2020-05-08,BB,52150.6,84.0,39112.95,10853.275899999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2020-05-09,BB,27618.690000000002,47.0,20714.0175,4632.61856,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2020-05-10,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
2020-05-11,BB,61527.3,102.0,46145.475,11977.7878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-05-12,BB,119876.4,146.0,89907.3,23518.229389999997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2020-05-13,BB,26789.99,71.0,20092.4925,6021.05594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
2020-05-14,BB,8076.900000000001,23.0,6057.675,1206.34498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
2020-05-15,BB,6982.1,9.0,5236.575,919.5909100000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2020-05-16,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2020-05-17,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
2020-05-18,BB,16450.86,18.0,12338.145,2533.04277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-05-19,BB,28429.61,48.0,21322.2075,4609.94536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2020-05-20,BB,3499.62,8.0,2624.715,627.3380500000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
2020-05-21,BB,4497.9,9.0,3373.425,752.3252899999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
2020-05-22,BB,13480.08,16.0,10110.06,1973.37928,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2020-05-23,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2020-05-24,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
2020-05-25,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-05-26,BB,619.9000000000001,9.0,464.9249999999997,-140.28118000000035,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2020-05-27,BB,3791.2799999999997,8.0,2843.46,232.29061000000013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
2020-05-28,BB,20365.6,23.0,15274.2,3020.24996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
2020-05-29,BB,17439.420000000002,24.0,13079.565,3356.6235600000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2020-05-30,BB,16417.04,25.0,12312.78,5272.52634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2020-05-31,BB,14627.960000000001,16.0,10970.97,4754.584089999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
2020-06-01,BB,26253.85,34.0,19690.3875,6564.55785,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-06-02,BB,21567.920000000002,21.0,16175.94,5710.59095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2020-06-03,BB,23970.68,20.0,17978.01,5660.88589,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2020-06-04,BB,47368.58,66.0,35526.435,10105.31799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
2020-06-05,BB,34973.27,47.0,26229.9525,7400.13351,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
2020-06-06,BB,40869.7,44.0,30652.275,8595.4948,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
2020-06-07,BB,1498.0,1.0,1123.5,206.32489,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2020-06-08,BB,26814.65,43.0,20110.9875,6446.99983,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-06-09,BB,47577.75,53.0,35683.3125,12855.83498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2020-06-10,BB,92299.16,133.0,69224.37,26709.58868,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2020-06-11,BB,68190.71,129.0,51143.0325,17877.521960000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
2020-06-12,BB,118186.6,205.0,88639.95,30783.40146,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
2020-06-13,BB,41280.4,77.0,30960.3,11275.20259,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
2020-06-14,BB,37385.4,51.0,28039.05,10001.29597,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2020-06-15,BB,119561.29000000001,164.0,89670.9675,29370.91954,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-06-16,BB,56061.75,112.0,42046.3125,16249.26698,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2020-06-17,BB,61600.92,113.0,46200.69,16363.064040000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2020-06-18,BB,71716.01,101.0,53787.0075,20509.13009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
2020-06-19,BB,73224.18,121.0,54918.135,19456.89201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
2020-06-20,BB,77576.58,111.0,58182.435,18952.99428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
2020-06-21,BB,8435.2,17.0,6326.4,2084.11002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2020-06-22,BB,56483.1,91.0,42362.325,14820.24643,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-06-23,BB,67583.06,122.0,50687.295,18088.48801,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2020-06-24,BB,109348.14,162.0,82011.105,29064.01509,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
